,step,train_error,validation_error
0,0,0.8984375,0.8760000467300415
1,10,0.7265625,0.7600000500679016
2,20,0.71875,0.7560000419616699
3,30,0.71875,0.7680000066757202
4,40,0.7578125,0.7240000367164612
5,50,0.578125,0.6640000343322754
6,60,0.6640625,0.6360000371932983
7,70,0.640625,0.6600000262260437
8,80,0.59375,0.6320000290870667
9,90,0.6328125,0.6360000371932983
10,100,0.5546875,0.5640000104904175
11,110,0.5625,0.628000020980835
12,120,0.5546875,0.5640000104904175
13,130,0.59375,0.5600000023841858
14,140,0.5625,0.5920000076293945
15,150,0.6796875,0.6040000319480896
16,160,0.578125,0.6080000400543213
17,170,0.578125,0.5200000405311584
18,180,0.5703125,0.6240000128746033
19,190,0.6328125,0.5840000510215759
