,step,train_error,validation_error
0,0,0.9296875,0.8960000276565552
1,10,0.71875,0.6840000152587891
2,20,0.6796875,0.6920000314712524
3,30,0.6484375,0.64000004529953
4,40,0.6796875,0.7000000476837158
5,50,0.71875,0.6440000534057617
6,60,0.609375,0.5640000104904175
7,70,0.609375,0.6680000424385071
8,80,0.5703125,0.5360000133514404
9,90,0.5546875,0.5879999995231628
10,100,0.640625,0.5240000486373901
11,110,0.65625,0.5840000510215759
12,120,0.671875,0.5560000538825989
13,130,0.5625,0.4400000274181366
14,140,0.5078125,0.5800000429153442
15,150,0.5625,0.46400001645088196
16,160,0.4609375,0.5040000081062317
17,170,0.453125,0.5480000376701355
18,180,0.5234375,0.4360000193119049
19,190,0.40625,0.45600003004074097
20,200,0.5234375,0.45600003004074097
21,210,0.53125,0.46400001645088196
22,220,0.4921875,0.4360000193119049
23,230,0.4296875,0.40400001406669617
